REBID Simulation, MPGM Simulation, Be-Rebid Final Cumulative Signal Strength, MPGM Final  Cumulative Signal Stregnth
R30H60T9DnormalS0A0,R30H60T9DnormalS0A0,2724842,2728568
R30H60T9DnormalS8A0,R30H60T9DnormalS8A0,2742329,2749007
R30H60T9DnormalS9A0,R30H60T9DnormalS9A0,2739400,2740923
R30H70T9DnormalS7A0,R30H70T9DnormalS7A0,3186809,3188094
R30H70T9DnormalS3A0,R30H70T9DnormalS3A0,3185567,3186422
R30H80T9DnormalS2A0,R30H80T9DnormalS2A0,3643620,3648668
R30H80T9DnormalS6A0,R30H80T9DnormalS6A0,3641511,3641802
R30H80T9DnormalS1A0,R30H80T9DnormalS1A0,3655137,3655807
R30H80T9DnormalS4A0,R30H80T9DnormalS4A0,3628036,3644647
R30H80T9DnormalS5A0,R30H80T9DnormalS5A0,3649227,3649839
R30H80T9DnormalS9A0,R30H80T9DnormalS9A0,3677551,3677994
R30H90T9DnormalS7A0,R30H90T9DnormalS7A0,4091827,4096681
R30H90T9DnormalS3A0,R30H90T9DnormalS3A0,4104619,4110227
R30H100T9DnormalS4A0,R30H100T9DnormalS4A0,4570496,4581689
R40H10T9DnormalS2A0,R40H10T9DnormalS2A0,863677,863763
R40H10T9DnormalS6A0,R40H10T9DnormalS6A0,865836,865901
R40H10T9DnormalS1A0,R40H10T9DnormalS1A0,862697,862756
R40H10T9DnormalS5A0,R40H10T9DnormalS5A0,853185,853265
R40H10T9DnormalS0A0,R40H10T9DnormalS0A0,864936,865009
R40H10T9DnormalS9A0,R40H10T9DnormalS9A0,860526,860731
R40H20T9DnormalS7A0,R40H20T9DnormalS7A0,1655182,1655185
R40H20T9DnormalS2A0,R40H20T9DnormalS2A0,1635643,1636054
R40H20T9DnormalS6A0,R40H20T9DnormalS6A0,1641960,1642330
R40H20T9DnormalS3A0,R40H20T9DnormalS3A0,1657437,1657482
R40H20T9DnormalS4A0,R40H20T9DnormalS4A0,1651817,1652041
R40H20T9DnormalS5A0,R40H20T9DnormalS5A0,1649775,1649829
R40H20T9DnormalS0A0,R40H20T9DnormalS0A0,1661294,1662735
R40H20T9DnormalS8A0,R40H20T9DnormalS8A0,1647161,1647176
R40H20T9DnormalS9A0,R40H20T9DnormalS9A0,1651932,1651954
R40H30T9DnormalS7A0,R40H30T9DnormalS7A0,2456390,2458368
R40H30T9DnormalS2A0,R40H30T9DnormalS2A0,2446155,2446448
R40H30T9DnormalS6A0,R40H30T9DnormalS6A0,2447531,2447626
R40H30T9DnormalS3A0,R40H30T9DnormalS3A0,2449961,2450077
R40H30T9DnormalS1A0,R40H30T9DnormalS1A0,2461484,2461583
R40H30T9DnormalS5A0,R40H30T9DnormalS5A0,2447129,2447214
R40H30T9DnormalS0A0,R40H30T9DnormalS0A0,2444150,2444254
R40H30T9DnormalS9A0,R40H30T9DnormalS9A0,2452472,2452608
R40H40T9DnormalS2A0,R40H40T9DnormalS2A0,3247522,3247576
R40H40T9DnormalS6A0,R40H40T9DnormalS6A0,3238738,3238800
R40H40T9DnormalS3A0,R40H40T9DnormalS3A0,3265930,3266003
R40H40T9DnormalS5A0,R40H40T9DnormalS5A0,3257234,3259296
R40H40T9DnormalS0A0,R40H40T9DnormalS0A0,3252287,3252316
R40H50T9DnormalS7A0,R40H50T9DnormalS7A0,4072834,4072868
R40H50T9DnormalS6A0,R40H50T9DnormalS6A0,4075321,4075482
R40H50T9DnormalS4A0,R40H50T9DnormalS4A0,4053363,4053490
R40H50T9DnormalS8A0,R40H50T9DnormalS8A0,4058353,4058709
R40H60T9DnormalS7A0,R40H60T9DnormalS7A0,4887048,4888774
