REBID Simulation, MPGM Simulation, Be-Rebid Final Cumulative Signal Strength, MPGM Final  Cumulative Signal Stregnth,Difference,,Avg Win,Squares,Variance,StdDev
R20H80T9DnormalS4A0,R20H80T9DnormalS4A0,1618011,1618481,470,,,220900
R20H80T9DnormalS5A0,R20H80T9DnormalS5A0,1624388,1624720,332,,,110224
R20H90T0DnormalS4A0,R20H90T0DnormalS4A0,203668,203785,117,,,13689
R20H90T9DnormalS7A0,R20H90T9DnormalS7A0,1823132,1824259,1127,,,1270129
R20H90T9DnormalS2A0,R20H90T9DnormalS2A0,1814910,1814924,14,,,196
R20H90T9DnormalS0A0,R20H90T9DnormalS0A0,1828834,1829267,433,,,187489
R20H100T9DnormalS9A0,R20H100T9DnormalS9A0,2036079,2036880,801,,,641601
R30H10T9DnormalS2A0,R30H10T9DnormalS2A0,479477,479540,63,,,3969
R30H10T9DnormalS6A0,R30H10T9DnormalS6A0,484252,484322,70,,,4900
R30H10T9DnormalS3A0,R30H10T9DnormalS3A0,484147,484279,132,,,17424
R30H10T9DnormalS1A0,R30H10T9DnormalS1A0,484732,484734,2,,,4
R30H10T9DnormalS4A0,R30H10T9DnormalS4A0,478710,478900,190,,,36100
R30H10T9DnormalS8A0,R30H10T9DnormalS8A0,483788,483829,41,,,1681
R30H10T9DnormalS9A0,R30H10T9DnormalS9A0,481003,481277,274,,,75076
R30H20T9DnormalS2A0,R30H20T9DnormalS2A0,921491,921501,10,,,100
R30H20T9DnormalS6A0,R30H20T9DnormalS6A0,918829,918947,118,,,13924
R30H20T9DnormalS3A0,R30H20T9DnormalS3A0,930223,930278,55,,,3025
R30H20T9DnormalS4A0,R30H20T9DnormalS4A0,918617,919049,432,,,186624
R30H20T9DnormalS0A0,R30H20T9DnormalS0A0,932786,932906,120,,,14400
R30H20T9DnormalS8A0,R30H20T9DnormalS8A0,925876,926632,756,,,571536
R30H30T9DnormalS1A0,R30H30T9DnormalS1A0,1382687,1383010,323,,,104329
R30H30T9DnormalS5A0,R30H30T9DnormalS5A0,1365551,1365614,63,,,3969
R30H30T9DnormalS9A0,R30H30T9DnormalS9A0,1375959,1377132,1173,,,1375929
R30H40T9DnormalS7A0,R30H40T9DnormalS7A0,1842102,1842597,495,,,245025
R30H40T9DnormalS1A0,R30H40T9DnormalS1A0,1821571,1821820,249,,,62001
R30H50T9DnormalS7A0,R30H50T9DnormalS7A0,2292030,2295387,3357,,,11269449
R30H50T9DnormalS2A0,R30H50T9DnormalS2A0,2268929,2269008,79,,,6241
R30H50T9DnormalS6A0,R30H50T9DnormalS6A0,2303595,2307079,3484,,,12138256
R30H50T9DnormalS3A0,R30H50T9DnormalS3A0,2295628,2296107,479,,,229441
R30H50T9DnormalS5A0,R30H50T9DnormalS5A0,2279885,2282495,2610,,,6812100
R30H50T9DnormalS9A0,R30H50T9DnormalS9A0,2291511,2291557,46,,,2116
R30H60T9DnormalS6A0,R30H60T9DnormalS6A0,2722051,2723563,1512,,,2286144
R30H60T9DnormalS1A0,R30H60T9DnormalS1A0,2737764,2738203,439,,,192721
R30H60T9DnormalS0A0,R30H60T9DnormalS0A0,2724842,2728568,3726,,,13883076
R30H60T9DnormalS8A0,R30H60T9DnormalS8A0,2742329,2749007,6678,,,44595684
R30H60T9DnormalS9A0,R30H60T9DnormalS9A0,2739400,2740923,1523,,,2319529
R30H70T9DnormalS7A0,R30H70T9DnormalS7A0,3186809,3188094,1285,,,1651225
R30H70T9DnormalS3A0,R30H70T9DnormalS3A0,3185567,3186422,855,,,731025
R30H80T9DnormalS2A0,R30H80T9DnormalS2A0,3643620,3648668,5048,,,25482304
R30H80T9DnormalS6A0,R30H80T9DnormalS6A0,3641511,3641802,291,,,84681
R30H80T9DnormalS1A0,R30H80T9DnormalS1A0,3655137,3655807,670,,,448900
R30H80T9DnormalS4A0,R30H80T9DnormalS4A0,3628036,3644647,16611,,,275925321
R30H80T9DnormalS5A0,R30H80T9DnormalS5A0,3649227,3649839,612,,,374544
R30H80T9DnormalS9A0,R30H80T9DnormalS9A0,3677551,3677994,443,,,196249
R30H90T9DnormalS7A0,R30H90T9DnormalS7A0,4091827,4096681,4854,,,23561316
R30H90T9DnormalS3A0,R30H90T9DnormalS3A0,4104619,4110227,5608,,,31449664
R30H100T9DnormalS4A0,R30H100T9DnormalS4A0,4570496,4581689,11193,,,125283249
R40H10T9DnormalS2A0,R40H10T9DnormalS2A0,863677,863763,86,,,7396
R40H10T9DnormalS6A0,R40H10T9DnormalS6A0,865836,865901,65,,,4225
R40H10T9DnormalS1A0,R40H10T9DnormalS1A0,862697,862756,59,,,3481
R40H10T9DnormalS5A0,R40H10T9DnormalS5A0,853185,853265,80,,,6400
R40H10T9DnormalS0A0,R40H10T9DnormalS0A0,864936,865009,73,,,5329
R40H10T9DnormalS9A0,R40H10T9DnormalS9A0,860526,860731,205,,,42025
R40H20T9DnormalS7A0,R40H20T9DnormalS7A0,1655182,1655185,3,,,9
R40H20T9DnormalS2A0,R40H20T9DnormalS2A0,1635643,1636054,411,,,168921
R40H20T9DnormalS6A0,R40H20T9DnormalS6A0,1641960,1642330,370,,,136900
R40H20T9DnormalS3A0,R40H20T9DnormalS3A0,1657437,1657482,45,,,2025
R40H20T9DnormalS4A0,R40H20T9DnormalS4A0,1651817,1652041,224,,,50176
R40H20T9DnormalS5A0,R40H20T9DnormalS5A0,1649775,1649829,54,,,2916
R40H20T9DnormalS0A0,R40H20T9DnormalS0A0,1661294,1662735,1441,,,2076481
R40H20T9DnormalS8A0,R40H20T9DnormalS8A0,1647161,1647176,15,,,225
R40H20T9DnormalS9A0,R40H20T9DnormalS9A0,1651932,1651954,22,,,484
R40H30T9DnormalS7A0,R40H30T9DnormalS7A0,2456390,2458368,1978,,,3912484
