File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
R10H10T7DnormalS4A0,10,10,MPGM,random,3.0,normal,33626,35076.0
R10H10T8DnormalS5A0,10,10,MPGM,random,6.0,normal,34445,0.0
R10H10T1DnormalS5A0,10,10,MPGM,random,0.5,normal,34445,7682.0
R10H10T2DnormalS5A0,10,10,MPGM,random,0.8,normal,34445,8565.0
R10H10T3DnormalS5A0,10,10,MPGM,random,1.0,normal,34445,11217.0
R10H10T4DnormalS5A0,10,10,MPGM,random,1.2,normal,34445,13072.0
R10H10T5DnormalS5A0,10,10,MPGM,random,1.5,normal,34445,16103.0
R10H10T6DnormalS5A0,10,10,MPGM,random,2.0,normal,34445,22197.0
R10H10T7DnormalS5A0,10,10,MPGM,random,3.0,normal,34445,34901.0
R10H10T8DnormalS0A0,10,10,MPGM,random,6.0,normal,36223,0.0
R10H10T1DnormalS0A0,10,10,MPGM,random,0.5,normal,36223,15137.0
R10H10T2DnormalS0A0,10,10,MPGM,random,0.8,normal,36223,15137.0
R10H10T3DnormalS0A0,10,10,MPGM,random,1.0,normal,36223,15137.0
R10H10T4DnormalS0A0,10,10,MPGM,random,1.2,normal,36223,15137.0
R10H10T5DnormalS0A0,10,10,MPGM,random,1.5,normal,36223,17164.0
R10H10T6DnormalS0A0,10,10,MPGM,random,2.0,normal,36223,21792.0
R10H10T7DnormalS0A0,10,10,MPGM,random,3.0,normal,36223,32550.0
R10H10T8DnormalS8A0,10,10,MPGM,random,6.0,normal,37611,0.0
R10H10T1DnormalS8A0,10,10,MPGM,random,0.5,normal,37611,14796.0
R10H10T2DnormalS8A0,10,10,MPGM,random,0.8,normal,37611,14796.0
R10H10T3DnormalS8A0,10,10,MPGM,random,1.0,normal,37611,14796.0
R10H10T4DnormalS8A0,10,10,MPGM,random,1.2,normal,37611,14796.0
R10H10T5DnormalS8A0,10,10,MPGM,random,1.5,normal,37611,15772.0
R10H10T6DnormalS8A0,10,10,MPGM,random,2.0,normal,37611,22150.0
R10H10T7DnormalS8A0,10,10,MPGM,random,3.0,normal,37611,32665.0
R10H10T8DnormalS9A0,10,10,MPGM,random,6.0,normal,59237,0.0
R10H10T1DnormalS9A0,10,10,MPGM,random,0.5,normal,59237,11345.0
R10H10T2DnormalS9A0,10,10,MPGM,random,0.8,normal,59237,11345.0
R10H10T3DnormalS9A0,10,10,MPGM,random,1.0,normal,59237,11345.0
R10H10T4DnormalS9A0,10,10,MPGM,random,1.2,normal,59237,13840.0
R10H10T5DnormalS9A0,10,10,MPGM,random,1.5,normal,59237,17142.0
R10H10T6DnormalS9A0,10,10,MPGM,random,2.0,normal,59237,21842.0
R10H10T7DnormalS9A0,10,10,MPGM,random,3.0,normal,59237,33154.0
R10H20T0DnormalS7A0,10,20,MPGM,chain,null,normal,5312,20760.0
R10H20T0DnormalS2A0,10,20,MPGM,chain,null,normal,5680,20874.0
R10H20T0DnormalS6A0,10,20,MPGM,chain,null,normal,6325,20885.0
R10H20T0DnormalS3A0,10,20,MPGM,chain,null,normal,28060,20402.0
R10H20T0DnormalS1A0,10,20,MPGM,chain,null,normal,30125,20849.0
R10H20T0DnormalS4A0,10,20,MPGM,chain,null,normal,33626,20853.0
R10H20T0DnormalS5A0,10,20,MPGM,chain,null,normal,34445,20938.0
R10H20T0DnormalS0A0,10,20,MPGM,chain,null,normal,36223,21068.0
R10H20T0DnormalS8A0,10,20,MPGM,chain,null,normal,37611,20424.0
R10H20T0DnormalS9A0,10,20,MPGM,chain,null,normal,59237,20676.0
R10H20T9DnormalS7A0,10,20,MPGM,full,null,normal,5312,99875.0
R10H20T9DnormalS2A0,10,20,MPGM,full,null,normal,5680,98036.0
R10H20T9DnormalS6A0,10,20,MPGM,full,null,normal,6325,99223.0
R10H20T9DnormalS3A0,10,20,MPGM,full,null,normal,28060,99627.0
R10H20T9DnormalS1A0,10,20,MPGM,full,null,normal,30125,100474.0
R10H20T9DnormalS4A0,10,20,MPGM,full,null,normal,33626,101501.0
R10H20T9DnormalS5A0,10,20,MPGM,full,null,normal,34445,99928.0
R10H20T9DnormalS0A0,10,20,MPGM,full,null,normal,36223,100392.0
R10H20T9DnormalS8A0,10,20,MPGM,full,null,normal,37611,100431.0
R10H20T9DnormalS9A0,10,20,MPGM,full,null,normal,59237,102478.0
R10H20T8DnormalS7A0,10,20,MPGM,random,6.0,normal,5312,0.0
R10H20T1DnormalS7A0,10,20,MPGM,random,0.5,normal,5312,20461.0
R10H20T2DnormalS7A0,10,20,MPGM,random,0.8,normal,5312,20461.0
R10H20T3DnormalS7A0,10,20,MPGM,random,1.0,normal,5312,22051.0
R10H20T4DnormalS7A0,10,20,MPGM,random,1.2,normal,5312,26708.0
R10H20T5DnormalS7A0,10,20,MPGM,random,1.5,normal,5312,32241.0
R10H20T6DnormalS7A0,10,20,MPGM,random,2.0,normal,5312,42790.0
R10H20T7DnormalS7A0,10,20,MPGM,random,3.0,normal,5312,63933.0
R10H20T8DnormalS2A0,10,20,MPGM,random,6.0,normal,5680,0.0
R10H20T2DnormalS2A0,10,20,MPGM,random,0.8,normal,5680,21074.0
R10H20T3DnormalS2A0,10,20,MPGM,random,1.0,normal,5680,21074.0
R10H20T1DnormalS2A0,10,20,MPGM,random,0.5,normal,5680,21074.0
R10H20T4DnormalS2A0,10,20,MPGM,random,1.2,normal,5680,25788.0
R10H20T5DnormalS2A0,10,20,MPGM,random,1.5,normal,5680,33524.0
R10H20T6DnormalS2A0,10,20,MPGM,random,2.0,normal,5680,41714.0
R10H20T7DnormalS2A0,10,20,MPGM,random,3.0,normal,5680,64058.0
R10H20T8DnormalS6A0,10,20,MPGM,random,6.0,normal,6325,0.0
R10H20T2DnormalS6A0,10,20,MPGM,random,0.8,normal,6325,27398.0
R10H20T3DnormalS6A0,10,20,MPGM,random,1.0,normal,6325,27398.0
